"","X","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre","book_id"
"197",197,196,10.99,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",11127,4.8,"Jeff Kinney","Hardcover",2011,"Fiction",11777
"198",198,197,18.29,4,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2011,"Non Fiction",12767
"199",199,198,11.69,5,"The Hunger Games (Book 1)",42770,NA,"Suzanne Collins","Paperback",2011,"Fiction",14139
"200",200,199,14.54,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2011,"Non Fiction",14605
"201",201,200,15,7,"Inheritance: Book IV (Inheritance Cycle)",9010,4.7,"Christopher Paolini","Hardcover",2011,"Fiction",13779
"202",202,201,14.35,8,"Go the F**k to Sleep",20243,4.8,"Adam Mansbach","Hardcover",2011,"Fiction",11295
"203",203,202,9.08,9,"Mockingjay (The Hunger Games)",37034,4.6,"Suzanne Collins","Hardcover",2011,"Fiction",12441
"204",204,203,54.98,10,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",6354,4.6,"George R.R. Martin","Mass Market Paperback",2011,"Fiction",14439
"205",205,204,9.49,11,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2011,"Fiction",14185
"206",206,205,16.97,NA,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results",3104,4.3,"Mike Moreno","Hardcover",2011,"Non Fiction",13657
"207",207,206,24.31,13,"A Dance with Dragons (A Song of Ice and Fire)",17252,4.5,"George R. R. Martin","Hardcover",2011,"Fiction",12785
"208",208,207,9.99,14,"The Son of Neptune (Heroes of Olympus, Book 2)",11657,4.8,"Rick Riordan","Hardcover",2011,"Fiction",14560
"209",209,208,9.99,15,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)",10849,4.7,"Bill O'Reilly","Hardcover",2011,"Non Fiction",11998
"210",210,209,24.29,16,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2011,"Non Fiction",12874
"211",211,210,9.98,NA,"The Help",18068,4.8,"Kathryn Stockett","Paperback",2011,"Fiction",12306
"212",212,211,12.1,18,"The Immortal Life of Henrietta Lacks",16936,4.7,"Rebecca Skloot","Paperback",2011,"Non Fiction",14329
"213",213,212,16.43,19,"11/22/63: A Novel",3115,4.7,"Stephen King","Hardcover",2011,"Fiction",12246
"214",214,213,41,20,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2011,"Non Fiction",14541
"215",215,214,7.53,21,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2011,"Non Fiction",14980
"216",216,215,59.9,22,"The Hunger Games Trilogy Boxed Set",27185,NA,"Suzanne Collins","Hardcover",2011,"Fiction",12899
"217",217,216,12,23,"Cutting for Stone",6790,4.6,"Abraham Verghese","Paperback",2011,"Fiction",12051
"218",218,217,10.28,24,"Tina Fey: Bossypants",8169,4.3,"Tina Fey","Hardcover",2011,"Non Fiction",11185
"219",219,218,15.96,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",6580,4.4,"Timothy Ferriss","Hardcover",2011,"Non Fiction",13936
"220",220,219,14.49,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",7589,4.5,"Eric Larson","Hardcover",2011,"Non Fiction",14063
"221",221,220,23.99,27,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2011,"Non Fiction",11622
"222",222,221,16.48,28,"Crazy Love: Overwhelmed by a Relentless God",1920,4.7,"Francis Chan","Paperback",2011,"Non Fiction",13233
"223",223,222,18.19,29,"A Stolen Life: A Memoir",6155,4.7,"Jaycee Dugard","Hardcover",2011,"Non Fiction",14669
"224",224,223,11.93,30,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)",11051,4.7,"Stieg Larsson","Hardcover",2011,"Fiction",11618
"225",225,224,11.28,31,"Water for Elephants: A Novel",4923,4.5,"Sara Gruen","Paperback",2011,"Fiction",14226
"226",226,225,20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2011,"Non Fiction",13315
"227",227,226,12.8,NA,"The Lego Ideas Book: Unlock Your Imagination",9887,4.5,"Daniel Lipkowitz","Hardcover",2011,"Non Fiction",11294
"228",228,227,17.12,34,"One Thousand Gifts: A Dare to Live Fully Right Where You Are",4514,4.6,"Ann Voskamp","Hardcover",2011,"Non Fiction",13342
"229",229,228,19.99,35,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,NA,"Stephen R. Covey","Paperback",2011,"Non Fiction",11881
"230",230,229,13.91,36,"The Throne of Fire (The Kane Chronicles, Book 2)",3821,4.8,"Rick Riordan","Hardcover",2011,"Fiction",12656
"231",231,230,9.99,37,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",3567,4.5,"Charlaine Harris","Hardcover",2011,"Fiction",11840
"232",232,231,16.5,38,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,4.5,"Jim Collins","Hardcover",2011,"Non Fiction",14459
"233",233,232,19,39,"The Litigators",11507,4.5,"John Grisham","Hardcover",2011,"Fiction",14146
"234",234,233,20.65,40,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",2172,4.4,"Rob Bell","Hardcover",2011,"Non Fiction",11711
"235",235,234,10.49,41,"The Help",18068,4.8,"Kathryn Stockett","Paperback",2011,"Fiction",12075
"236",236,235,23.87,42,"Thinking, Fast and Slow",29732,4.6,"Daniel Kahneman","Hardcover",2011,"Non Fiction",13729
"237",237,236,15.99,43,"The Paris Wife: A Novel",5284,4.4,"Paula McLain","Hardcover",2011,"Fiction",14849
"238",238,237,9.21,44,"Radical: Taking Back Your Faith from the American Dream",2727,4.7,"David Platt","Paperback",2011,"Non Fiction",13851
"239",239,238,9.8,45,"The Art of Racing in the Rain: A Novel",16418,4.7,"Garth Stein","Paperback",2011,"Fiction",11417
"240",240,239,22.99,46,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",860,4.5,"Doug Lemov","Paperback",2011,"Non Fiction",11854
"241",241,240,12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",9950,NA,"Joel Fuhrman MD","Paperback",2011,"Non Fiction",11167
"242",242,241,24,48,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",5331,4.7,"Thomas Campbell","Paperback",2011,"Non Fiction",11887
"243",243,242,18,49,"What to Expect When You're Expecting",29389,4.8,"Heidi Murkoff","Paperback",2011,"Non Fiction",12527
"244",244,243,18.89,51,"The Best of Me",8837,4.6,"Nicholas Sparks","Hardcover",2011,"Fiction",11511
"245",245,244,13.08,52,"Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy",669,4.4,"Jacqueline Kennedy","Hardcover",2011,"Non Fiction",14781
"246",246,245,9.49,53,"The Girl with the Dragon Tattoo (Millennium Series)",15466,4.5,"Stieg Larsson","Paperback",2011,"Fiction",14694
"247",247,246,25.41,54,"The Greater Journey: Americans in Paris",1694,4.5,"David McCullough","Hardcover",2011,"Non Fiction",11717
"248",248,247,16.99,55,"Switch: How to Change Things When Change Is Hard",3912,4.6,"Chip Heath","Hardcover",2011,"Non Fiction",13571
"249",249,248,11.99,56,"Every Thing On It",1753,4.9,"Shel Silverstein","Hardcover",2011,"Fiction",13244
"250",250,249,10.41,57,"Miss Peregrine's Home for Peculiar Children",13221,4.5,"Ransom Riggs","Hardcover",2011,"Fiction",14641
"251",251,250,13.58,58,"Moonwalking With Einstein: The Art and Science of Remembering Everything",5965,4.5,"Joshua Foer","Hardcover",2011,"Non Fiction",12438
"252",252,251,6.79,59,"The Great Gatsby: The Only Authorized Edition",18656,NA,"F. Scott Fitzgerald","Paperback",2011,"Fiction",12755
"253",253,252,13.78,60,"The Help",18068,4.8,"Kathryn Stockett","Hardcover",2011,"Fiction",12409
"254",254,253,21.99,61,"1Q84: A novel",4649,4.4,"Haruki Murakami","Hardcover",2011,"Fiction",13534
"255",255,254,13.81,62,"Boomerang: Travels in the New Third World",1774,4.5,"Michael Lewis","Hardcover",2011,"Non Fiction",14880
"256",256,255,16.13,63,"Who Moved My Cheese",16756,NA,"Spencer Johnson","Hardcover",2011,"Fiction",12547
"257",257,256,15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",2349,4.5,"Tom Rath","Hardcover",2011,"Non Fiction",11776
"258",258,257,17.36,65,"Elder Scrolls V: Skyrim: Prima Official Game Guide",1781,4.6,"David Hodgson","Paperback",2011,"Non Fiction",14594
"259",259,258,12.06,66,"The Glass Castle: A Memoir (book)",19006,4.6,"Jeannette Walls","Paperback",2011,"Non Fiction",13307
"260",260,259,6.99,67,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2011,"Fiction",11571
"261",261,260,13.39,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",18929,4.5,"Timothy Ferriss","Hardcover",2011,"Non Fiction",11286
"262",262,261,8.48,69,"Oh, the Places You'll Go!",42848,4.9,"Dr. Seuss","Hardcover",2011,"Fiction",12808
"263",263,262,8.93,70,"Through My Eyes",1003,4.7,"Tim Tebow","Hardcover",2011,"Non Fiction",11921
"264",264,263,22.79,71,"The Land of Painted Caves: A Novel (Earth's Children)",6293,4.2,"Jean M. Auel","Hardcover",2011,"Fiction",14896
"265",265,264,14.52,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",865,NA,"David Brooks","Hardcover",2011,"Non Fiction",11404
"266",266,265,24.33,73,"A Guide to the Project Management Body of Knowledge",726,4.4,"Project Management Institute","Paperback",2011,"Non Fiction",12180
"267",267,266,12.94,74,"Guinness World Records 2012",489,4.6,"Guinness World Records","Hardcover",2011,"Non Fiction",12356
"268",268,267,19.1,NA,"State of Wonder",3966,4.2,"Ann Patchett","Hardcover",2011,"Fiction",11825
"269",269,268,11.59,76,"A Visit from the Goon Squad",4365,4,"Jennifer Egan","Paperback",2011,"Fiction",13694
"270",270,269,16.2,NA,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",5774,4.6,"Caldwell B. Esselstyn Jr.","Paperback",2011,"Non Fiction",11186
"271",271,270,38.86,78,"Harry Potter Paperback Box Set (Books 1-7)",91628,4.9,"J. K. Rowling","Paperback",2011,"Fiction",12252
"272",272,271,14.99,79,"Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels)",4629,4.6,"Janet Evanovich","Hardcover",2011,"Fiction",11044
"273",273,272,15.98,80,"The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide",11732,4.6,"Sean Covey","Paperback",2011,"Non Fiction",14633
"274",274,273,16.97,NA,"Delivering Happiness: A Path to Profits, Passion, and Purpose",3242,4.6,"Tony Hsieh","Hardcover",2011,"Non Fiction",12750
"275",275,274,14.53,82,"The Lost Hero (Heroes of Olympus, Book 1)",11549,4.8,"Rick Riordan","Hardcover",2011,"Fiction",14317
"276",276,275,10.43,83,"Room",9750,4.5,"Emma Donoghue","Paperback",2011,"Fiction",11698
"277",277,276,13.49,84,"Hotel on the Corner of Bitter and Sweet",6239,4.6,"Jamie Ford","Paperback",2011,"Fiction",12314
"278",278,277,12.99,85,"The Tipping Point: How Little Things Can Make a Big Difference",5732,4.4,"Malcolm Gladwell","Paperback",2011,"Non Fiction",12553
"279",279,278,14.98,86,"Emotional Intelligence 2.0",10429,4.5,"Travis Bradberry","Hardcover",2011,"Non Fiction",14727
"280",280,279,15.71,87,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Paperback",2011,"Non Fiction",12799
"281",281,280,8.69,NA,"Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller",2800,4.5,"Gene Stone","Paperback",2011,"Non Fiction",14757
"282",282,281,11.12,89,"The Girl Who Played with Fire (Millennium Series)",10693,4.7,"Stieg Larsson","Paperback",2011,"Fiction",13771
"283",283,282,20.25,90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",1156,4.4,"Lisa Lillien","Paperback",2011,"Non Fiction",14243
"284",284,283,25,NA,"The Alchemist",3816,4.7,"Paulo Coelho","Paperback",2011,"Fiction",11871
"285",285,284,24.95,92,"Getting Things Done: The Art of Stress-Free Productivity",4736,4.6,"David Allen","Paperback",2011,"Non Fiction",11741
"286",286,285,13.03,93,"The Invention of Hugo Cabret",2654,4.8,"Brian Selznick","Hardcover",2011,"Fiction",11315
"287",287,286,17.89,94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",776,3.5,"Gallup","Hardcover",2011,"Non Fiction",14513
"288",288,287,10.79,95,"Drive: The Surprising Truth About What Motivates Us",5489,4.5,"Daniel H. Pink","Paperback",2011,"Non Fiction",12996
"289",289,288,14.44,96,"Smokin' Seventeen (Stephanie Plum)",3762,4.6,"Janet Evanovich","Hardcover",2011,"Fiction",11931
"290",290,289,20.61,97,"Moleskine Classic Notebook, Hard Cover, Large (5"" x 8.25"") Ruled/Lined, Black, 240 Pages",22268,4.8,"Moleskine Store","Hardcover",2011,"unknown",12770
"291",291,290,8.79,98,"The Big Short: Inside the Doomsday Machine",5893,4.7,"Michael Lewis","Paperback",2011,"Non Fiction",14096
"292",292,291,9.99,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833,4.7,"Christopher McDougall","Paperback",2011,"Non Fiction",14379
"293",293,292,39.99,NA,"The Official Guide for GMAT Review",303,4.4,"GMAC (Graduate Management Admission Council)","Paperback",2011,"Non Fiction",13157
"294",294,293,13.99,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",60233,4,"E L James","Paperback",2012,"Fiction",12260
"295",295,294,13.99,2,"Fifty Shades Darker",32887,4.5,"E L James","Paperback",2012,"Fiction",13227
"296",296,295,13.88,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",32375,4.5,"E L James","Paperback",2012,"Fiction",13124
"297",297,296,11.69,NA,"The Hunger Games (Book 1)",42770,4.7,"Suzanne Collins","Paperback",2012,"Fiction",12731
"298",298,297,18.29,5,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2012,"Non Fiction",13341
"299",299,298,19.49,6,"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)",38220,4.6,"E L James","Paperback",2012,"Fiction",12226
"300",300,299,9.49,7,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2012,"Fiction",12185
"301",301,300,9.08,8,"Mockingjay (The Hunger Games)",37034,4.6,"Suzanne Collins","Hardcover",2012,"Fiction",11269
"302",302,301,13.95,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",12521,NA,"Jeff Kinney","Hardcover",2012,"Fiction",11267
"303",303,302,16.89,10,"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden",9676,4.6,"Mark Owen","Hardcover",2012,"Non Fiction",13789
"304",304,303,59.9,11,"The Hunger Games Trilogy Boxed Set",27185,4.8,"Suzanne Collins","Hardcover",2012,"Fiction",11783
"305",305,304,15.21,12,"Gone Girl",66978,4.1,"Gillian Flynn","Hardcover",2012,"Fiction",13553
"306",306,305,11.26,13,"The Mark of Athena (Heroes of Olympus, Book 3)",13958,4.8,"Rick Riordan","Hardcover",2012,"Fiction",13445
"307",307,306,41,14,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2012,"Non Fiction",12479
"308",308,307,54.98,15,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",6354,4.6,"George R.R. Martin","Mass Market Paperback",2012,"Fiction",11400
"309",309,308,17.68,16,"Killing Kennedy: The End of Camelot",10410,4.6,"Bill O'Reilly","Hardcover",2012,"Non Fiction",11103
"310",310,309,24.29,17,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2012,"Non Fiction",13723
"311",311,310,9.99,18,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)",10849,4.7,"Bill O'Reilly","Hardcover",2012,"Non Fiction",12471
"312",312,311,14.54,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2012,"Non Fiction",13264
"313",313,312,12.79,20,"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife",16915,4.4,"Eben Alexander","Paperback",2012,"Non Fiction",13197
"314",314,313,23.99,21,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2012,"Non Fiction",14282
"315",315,314,17.99,22,"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook",2346,4.8,"Ina Garten","Hardcover",2012,"Non Fiction",11577
"316",316,315,23.87,23,"Thinking, Fast and Slow",29732,4.6,"Daniel Kahneman","Hardcover",2012,"Non Fiction",14156
"317",317,316,11,24,"The Casual Vacancy",10955,3.4,"J.K. Rowling","Hardcover",2012,"Fiction",12041
"318",318,317,9.49,25,"The Harbinger: The Ancient Mystery that Holds the Secret of America's Future",19005,4.7,"Jonathan Cahn","Paperback",2012,"Fiction",13090
"319",319,318,19.19,26,"The Power of Habit: Why We Do What We Do in Life and Business",22727,4.7,"Charles Duhigg","Hardcover",2012,"Non Fiction",13983
"320",320,319,17.33,27,"Steve Jobs",12780,4.7,"Walter Isaacson","Hardcover",2012,"Non Fiction",13338
"321",321,320,13.96,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",8638,4.4,"William Davis","Hardcover",2012,"Non Fiction",13812
"322",322,321,8.48,29,"Oh, the Places You'll Go!",42848,4.9,"Dr. Seuss","Hardcover",2012,"Fiction",12393
"323",323,322,19.99,30,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,4.6,"Stephen R. Covey","Paperback",2012,"Non Fiction",12020
"324",324,323,20.72,31,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6269,4.6,"Patrick Lencioni","Hardcover",2012,"Non Fiction",14284
"325",325,324,23.01,32,"Quiet: The Power of Introverts in a World That Can't Stop Talking",20015,4.6,"Susan Cain","Hardcover",2012,"Non Fiction",11986
"326",326,325,6.79,33,"The Great Gatsby: The Only Authorized Edition",18656,4.5,"F. Scott Fitzgerald","Paperback",2012,"Fiction",12331
"327",327,326,20.15,34,"The Racketeer",24614,4.4,"John Grisham","Hardcover",2012,"Fiction",11335
"328",328,327,13.95,35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",2489,4.3,"Mark Hyman M.D.","Hardcover",2012,"Non Fiction",11026
"329",329,328,14.48,36,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",20089,4.9,"Sherri Duskey Rinker","Hardcover",2012,"Fiction",12855
"330",330,329,12.1,37,"The Immortal Life of Henrietta Lacks",16936,4.7,"Rebecca Skloot","Paperback",2012,"Non Fiction",11828
"331",331,330,11.06,38,"The Fault in Our Stars",62087,4.7,"John Green","Hardcover",2012,"Fiction",12161
"332",332,331,12.58,39,"The Serpent's Shadow (The Kane Chronicles, Book 3)",4883,4.8,"Rick Riordan","Hardcover",2012,"Fiction",13008
"333",333,332,17.12,40,"One Thousand Gifts: A Dare to Live Fully Right Where You Are",4514,NA,"Ann Voskamp","Hardcover",2012,"Non Fiction",11018
"334",334,333,18.24,41,"Wild: From Lost to Found on the Pacific Crest Trail",23549,4.5,"Cheryl Strayed","Hardcover",2012,"Non Fiction",13319
"335",335,334,13.98,42,"Winter of the World: Book Two of the Century Trilogy",18184,4.6,"Ken Follett","Hardcover",2012,"Fiction",12077
"336",336,335,13.32,43,"The Pioneer Woman Cooks: Food from My Frontier",4667,4.8,"Ree Drummond","Hardcover",2012,"Non Fiction",13451
"337",337,336,12.8,44,"The Lego Ideas Book: Unlock Your Imagination",9887,4.5,"Daniel Lipkowitz","Hardcover",2012,"Non Fiction",13950
"338",338,337,10.24,NA,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",17368,4.7,"Todd Burpo","Paperback",2012,"Non Fiction",13353
"339",339,338,7.53,46,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2012,"Non Fiction",14790
"340",340,339,12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",9950,4.5,"Joel Fuhrman MD","Paperback",2012,"Non Fiction",14701
"341",341,340,17.65,48,"Thomas Jefferson: The Art of Power",2922,4.6,"Jon Meacham","Hardcover",2012,"Non Fiction",11480
"342",342,341,16.5,49,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,4.5,"Jim Collins","Hardcover",2012,"Non Fiction",11356
"343",343,342,9.6,50,"The Amateur",2707,4.5,"Edward Klein","Hardcover",2012,"Non Fiction",14483
"344",344,343,17.14,NA,"The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook",1834,4.7,"Deb Perelman","Hardcover",2012,"Non Fiction",14715
"345",345,344,18,52,"What to Expect When You're Expecting",29389,4.8,"Heidi Murkoff","Paperback",2012,"Non Fiction",14290
"346",346,345,27.49,NA,"The Walking Dead: Compendium One",7562,4.8,"Robert Kirkman","Paperback",2012,"Fiction",14703
"347",347,346,18.46,54,"The Signal and the Noise: Why So Many Predictions Fail-But Some Don't",1939,4.5,"Nate Silver","Hardcover",2012,"Non Fiction",12495
"348",348,347,7.07,55,"How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2)",10687,4.5,"The Oatmeal","Paperback",2012,"Fiction",13332
"349",349,348,24.31,56,"A Dance with Dragons (A Song of Ice and Fire)",17252,NA,"George R. R. Martin","Hardcover",2012,"Fiction",13985
"350",350,349,15.84,57,"America Again: Re-becoming the Greatness We Never Weren't",604,4.3,"Stephen Colbert","Hardcover",2012,"Non Fiction",11447
"351",351,350,5.52,58,"LEGO NINJAGO: Character Encyclopedia",887,4.5,"DK Publishing","Hardcover",2012,"Fiction",11192
"352",352,351,18.52,59,"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History",19371,4.6,"Chris Kyle","Hardcover",2012,"Non Fiction",11059
"353",353,352,15.71,60,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Paperback",2012,"Non Fiction",14875
"354",354,353,22.99,61,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",860,NA,"Doug Lemov","Paperback",2012,"Non Fiction",14578
"355",355,354,8.78,62,"Bared to You",14707,4.4,"Sylvia Day","Paperback",2012,"Fiction",14630
"356",356,355,7.74,63,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",86676,4.7,"Don Miguel Ruiz","Paperback",2012,"Non Fiction",14567
"357",357,356,15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",2349,4.5,"Tom Rath","Hardcover",2012,"Non Fiction",13768
"358",358,357,16.97,65,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results",3104,4.3,"Mike Moreno","Hardcover",2012,"Non Fiction",13110
"359",359,358,16.48,66,"Crazy Love: Overwhelmed by a Relentless God",1920,4.7,"Francis Chan","Paperback",2012,"Non Fiction",13613
"360",360,359,14.35,67,"Go the F**k to Sleep",20243,4.8,"Adam Mansbach","Hardcover",2012,"Fiction",12922
"361",361,360,27.99,68,"Bring Up the Bodies",8622,4.5,"Hilary Mantel","Hardcover",2012,"Fiction",12942
"362",362,361,11.55,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",1281,4.6,"Jim Collins","Hardcover",2012,"Non Fiction",13335
"363",363,362,21.9,70,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss",9950,4.5,"Joel Fuhrman MD","Mass Market Paperback",2012,"Non Fiction",12439
"364",364,363,17,71,"Reflected in You (Crossfire, Book 2)",12620,4.6,"Sylvia Day","Paperback",2012,"Fiction",14051
"365",365,364,16.13,72,"Who Moved My Cheese",16756,4.6,"Spencer Johnson","Hardcover",2012,"Fiction",13054
"366",366,365,6.99,73,"The Book Thief",34536,NA,"Markus Zusak","Paperback",2012,"Fiction",14209
"367",367,366,24.33,74,"A Guide to the Project Management Body of Knowledge",726,4.4,"Project Management Institute","Paperback",2012,"Non Fiction",12089
"368",368,367,16,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",3845,4.3,"Katherine Boo","Hardcover",2012,"Non Fiction",13872
"369",369,368,14.85,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",4372,4.5,"Charlaine Harris","Hardcover",2012,"Fiction",11287
"370",370,369,20.97,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",9891,4.7,"Kerry Patterson","Paperback",2012,"Non Fiction",12913
"371",371,370,8.69,78,"Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller",2800,4.5,"Gene Stone","Paperback",2012,"Non Fiction",12813
"372",372,371,15.79,79,"The Jesus Storybook Bible: Every Story Whispers His Name",11859,4.9,"Sally Lloyd-Jones","Hardcover",2012,"Non Fiction",14455
"373",373,372,14.76,80,"Notorious Nineteen: A Stephanie Plum Novel",8075,4.6,"Janet Evanovich","Hardcover",2012,"Fiction",11131
"374",374,373,19.87,81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",2827,4.5,"Timothy Ferriss","Hardcover",2012,"Non Fiction",11140
"375",375,374,11.99,82,"Cloud Atlas",5824,4.3,"David Mitchell","Paperback",2012,"Fiction",14151
"376",376,375,25,83,"The Alchemist",3816,4.7,"Paulo Coelho","Paperback",2012,"Fiction",13442
"377",377,376,22.6,84,"The Hunger Games",42770,4.7,"Suzanne Collins","Hardcover",2012,"Fiction",13676
"378",378,377,13,85,"Help, Thanks, Wow: The Three Essential Prayers",2022,4.6,"Anne Lamott","Hardcover",2012,"Non Fiction",11436
"379",379,378,9.67,86,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2012,"Fiction",13732
"380",380,379,22.97,87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",50,3.8,"Woo Myung","Hardcover",2012,"Non Fiction",12576
"381",381,380,9.29,NA,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",4826,4.5,"Mary C. Neal","Paperback",2012,"Non Fiction",13715
"382",382,381,9.79,89,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",13075,4.5,"Del Sroufe","Paperback",2012,"Non Fiction",12830
"383",383,382,12.55,90,"Catching Fire (Hunger Games)",32459,4.7,"Suzanne Collins","Paperback",2012,"Fiction",13852
"384",384,383,19.81,91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",13061,4.8,"Robert Jordan","Hardcover",2012,"Fiction",13261
"385",385,384,4.89,92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",11127,4.8,"Jeff Kinney","Hardcover",2012,"Fiction",13804
"386",386,385,15.98,93,"The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide",11732,4.6,"Sean Covey","Paperback",2012,"Non Fiction",13402
